start_time,end_time,text
1147.063,1148.521,"Excuse me, sir,"
1148.605,1152.275,"but that R2 unit is in prime condition,
a real bargain."
1152.359,1154.693,"Uncle Owen, what about that one?"
1154.778,1156.153,What about that blue one?
1156.239,1158.573,We'll take that one.
1158.657,1159.865,Take this away.
1159.951,1161.409,"You'll be very pleased with that one, sir."
1161.493,1164.538,"He really is in first-class condition.
I've worked with him before."
1164.622,1165.622,Here he comes.
1169.417,1170.835,O.K. Let's go.
1170.92,1172.796,"Now, don't you forget this."
1172.88,1176.715,"Why I should stick my neck out for you
is quite beyond my capacity."
1182.097,1183.932,Thank the maker!
1184.016,1186.101,This oil bath is going to feel so good.
1186.184,1189.813,"I've got such a bad case
of dust contamination,"
1189.896,1191.021,I can barely move.
1191.106,1192.147,It just isn't fair.
1192.232,1193.857,"Oh, Biggs is right."
1193.942,1196.236,I'm never gonna get out of here.
1196.319,1198.363,Is there anything I might do to help?
1198.447,1200.865,"No. Not unless you can alter time,"
1200.95,1203.367,"speed up the harvest,
or teleport me off this rock."
1203.451,1205.077,"I don't think so, sir."
1205.162,1208.08,"I'm only a droid and not very knowledgeable
about such things,"
1208.164,1209.915,"not on this planet, anyway."
1210.0,1213.42,"As a matter of fact,
I'm not even sure which planet I'm on."
1213.503,1215.922,"Well, if there's
a bright center to the universe,"
1216.007,1218.465,"you're on the planet
that it's farthest from."
1218.55,1219.718,"I see, sir."
1219.801,1221.553,You can call me Luke.
1221.636,1223.054,"I see, Sir Luke."
1223.138,1224.388,Ha ha.
1224.472,1225.64,Just Luke.
1225.724,1229.56,"Oh... And I am C-3PO,
human-cyborg relations."
1229.644,1232.063,This is my counterpart... R2-D2.
1232.147,1233.397,Hello.
1234.65,1236.901,You got a lot of carbon scoring.
1236.986,1239.112,"Looks like you boys have
seen a lot of action."
1239.195,1240.697,"With all we've been through,"
1240.78,1242.699,"sometimes I'm amazed
we're in as good condition as we are,"
1242.782,1244.241,what with the rebellion and all.
1244.326,1246.243,"You know of the rebellion
against the Empire?!"
1246.328,1248.413,"That's how we came to be in your service,"
1248.497,1249.913,"if you take my meaning, sir."
1249.999,1251.124,Have you been in many battles?
1251.208,1252.584,"Several, I think."
1252.667,1254.21,"Actually, there's not much to tell."
1254.295,1258.131,"I'm not much more than an interpreter
and not very good at telling stories."
1258.214,1260.592,"Well, not at making them
interesting, anyway."
1260.675,1262.676,"Well, my little friend,"
1262.761,1265.596,you got something jammed in here real good.
1265.681,1267.097,Were you on a Star Cruiser or-
1267.182,1270.602,"Help me, Obi-Wan Kenobi.
You're my only hope."
1270.685,1272.77,What's this?
1272.855,1274.855,"""What is what""? He asked you a question."
1274.94,1275.981,What is that?
1276.067,1277.483,"Help me, Obi-Wan Kenobi."
1277.567,1279.736,You're my only hope.
1283.49,1285.157,"Help me, Obi-Wan Kenobi."
1285.241,1286.992,You're my only hope.
1288.621,1291.413,"He says it's nothing, sir,
merely a malfunction."
1291.499,1293.958,Old data. Pay it no mind.
1294.042,1296.461,Who is she? She's beautiful.
1296.545,1299.923,"I'm afraid I'm not quite sure, sir."
1300.007,1302.424,"I think she was a passenger
on our last voyage."
1302.509,1304.259,"A person of some importance, I believe."
1304.345,1305.427,Our captain was attached-
1305.512,1306.762,Is there any more to this recording?
1308.766,1310.182,"Behave yourself, R2."
1310.267,1312.102,You're going to get us into trouble.
1312.185,1314.979,"It's all right. You can trust him.
He's our new master."
1317.732,1321.152,"He says that he's the property
of Obi-Wan Kenobi,"
1321.237,1322.737,"a resident of these parts,"
1322.821,1324.655,and it's a private message for him.
1324.74,1326.74,"Quite frankly, sir,
I don't know what he's talking about."
1326.826,1328.826,Our last master was Captain Antilles.
1328.911,1330.412,"But with all we've been through,"
1330.496,1333.58,"this little R2 unit has
become a bit eccentric."
1333.665,1336.835,"Obi-Wan Kenobi.
I wonder if he means old Ben Kenobi."
1336.919,1339.586,"I beg your pardon, sir,
but do you know what he's talking about?"
1339.672,1341.588,"I don't know any Obi-Wan,"
1341.673,1345.093,but old Ben lives out beyond the Dune Sea.
