start_time,end_time,text
593.957,596.761,Spencer Gilpin?
600.0,601.467,"Have a seat, Spencer."
611.942,613.543,Miss Mathers?
613.544,616.046,"""And it was this sense
of national exceptionalism"
616.048,620.083,"that fueled the spreading
wildfire of westward expansion."""
620.086,622.822,"Does that sound familiar,
Mr. Gilpin?"
624.688,627.36,"- It does not.
- It's the last sentence"
627.361,629.562,"of Anthony's paper
on westward expansion."
629.562,632.028,"And, coincidentally,
it's the last sentence"
632.029,635.4,"of your paper on westward
expansion from last year."
638.105,639.969,That's interesting.
639.971,641.74,Is it?
641.74,645.009,"I think so. I mean,
what are the odds of that?"
645.01,646.642,Slim.
646.644,649.581,"Yeah, you also
used the same metaphor:"
649.582,651.716,"""the spreading wildfire,""
in your papers"
651.716,655.452,"on the Boston Tea Party,
the Battle of Gettysburg,"
655.453,657.756,"and the women's suffrage
movement."
660.394,662.826,It's so hot in this room.
662.827,666.596,"Anthony, I know how much
you need to pass my class,"
666.599,667.998,but this is not how you do it.
668.0,670.735,"- I will not tolerate cheating.
- Cheating?"
670.736,672.903,"I didn't... I didn't...
I didn't cheat."
672.904,674.341,It was my fault.
675.006,677.475,I made him do it.
677.476,682.683,"You made him...
have you write his paper?"
683.884,685.615,Yeah.
685.616,687.153,Mm-hm.
689.554,692.625,"Look.
I'm sorry, okay?"
692.625,694.759,"No, no, it's not okay."
694.76,697.493,"What the hell, man?
You got me kicked off the team."
697.495,699.596,"Yeah, well, you could've
gotten me expelled."
699.596,702.5,"It's not like you're the only
one who's living dangerously."
702.5,703.966,"- Living dangerously?
- Yes."
703.967,707.706,"This is the most dangerous thing
I've ever done in my life."
707.707,710.808,"And now look at me.
I'm paying the price."
712.178,713.51,Well...
713.511,715.581,isn't this a fun group?
715.582,718.519,Welcome to detention.
719.082,720.118,"Yes, Spencer?"
720.12,721.754,I wanna say that I'm sorry.
721.755,724.12,"- Thank you.
- Bentley, all I did was make..."
724.123,726.658,"Bethany, please.
You're all here for a reason."
726.659,727.958,You know what it is.
727.961,730.195,"But this is what
you should be thinking about:"
730.197,733.23,Who you are...
733.231,735.0,"in this moment in time,"
735.0,737.937,and who you want to be.
737.937,740.238,You get one life.
740.24,742.606,"You decide
how you're gonna spend it."
744.476,746.11,Fortunately...
746.111,749.147,"there is no better place
for self-reflection"
749.149,750.615,than detention.
750.618,753.452,"Get up, everybody. Let's go."
765.832,768.131,"We are turning this
into a new computer center."
768.134,770.769,"But before we do,
it has to be cleaned out."
770.769,773.572,"These old magazines are bound
for the recycling plant."
773.572,776.173,"But they have to be prepped
before they go."
776.174,780.01,"It seems all the staples
must be removed."
780.014,782.913,"Whatever you don't finish today,
you finish tomorrow."
782.916,785.048,"- Tomorrow's Saturday.
- Because I wouldn't play?"
785.052,787.019,"- I don't think that'll work.
- That's fair."
787.019,791.12,"- Shut up.
- So I suggest you get started."
791.123,793.659,Choose your weapons.
798.999,801.899,"Hey, what the hell
they need with a bowling ball?"
803.135,805.004,"Seriously, no reception?"
805.005,808.639,"- Okay, can today get any worse?
- Are you gonna help?"
808.64,810.11,Or are you too pretty?
810.111,812.009,I'm too pretty.
816.918,819.851,"Hey. I was watching you
with Coach Web today."
819.852,821.719,"I wasn't watching you,
I wasn't..."
821.721,823.322,"Not, like, in a weird way.
I just..."
823.323,825.255,"I was in the room.
We're in the same class."
825.259,828.327,"Um, but I thought you were
saying some really smart things"
828.328,831.63,"about why P. E. sucks and, um..."
831.631,833.798,about other subjects.
833.799,835.937,Thanks.
836.971,838.572,Yeah.
843.076,844.976,Yo. What's this?
846.647,848.645,"- I don't know.
- What is it, like,"
848.649,850.982,"some type of old-school
Nintendo or something?"
850.985,852.716,I don't think so.
852.719,854.788,I don't recognize it.
872.338,875.139,"""A game for those
who seek to find..."
875.142,878.01,"""a way to leave
their world behind."
880.081,882.145,"Jumanji."""
882.149,883.75,"Staples, people. Staples."
883.75,885.082,"""Jumanji""?
What does that mean?"
885.086,887.12,"I have no idea.
Never heard of it."
890.091,891.688,Hm...
891.692,893.192,"Uh, which one do I pick?"
893.195,895.827,"I don't know. I don't
think it matters that much."
895.828,898.63,"""Jefferson 'Seaplane' McDonough."
898.634,900.899,"Pilot and rascal."""
900.903,903.87,"- It's not working.
- Okay, try another one."
903.871,906.639,"""Franklin 'Moose' Finbar."""
906.642,908.106,Hm.
908.107,909.375,He sounds like a badass.
909.379,912.815,"And he's a zoology expert,
which is awesome."
915.716,917.586,"- You pick.
- Okay."
918.885,922.088,"""Dr. Smolder Bravestone."""
924.961,927.025,"Bethany, you in?"
927.028,928.629,Fine.
931.668,932.996,I'll be...
933.0,935.134,Shelly Oberon...
935.135,936.434,the curvy genius.
938.005,940.272,"Hey, yo, Staples, come on.
It's your turn."
940.274,941.774,"Uh, no."
941.778,944.275,"- No, thanks.
- Wait. Just for a few minutes?"
944.278,946.279,It'll be fun.
946.28,947.683,She's not big on fun.
951.019,953.755,Okay. Fine.
956.692,959.892,"This may be the
lamest thing I've ever done."
959.894,962.695,I highly doubt that.
967.437,970.038,Welcome to Jumanji!
980.783,981.847,What's going on?
985.221,986.788,I think it's shorting out.
993.461,995.731,Unplug it!
999.801,1002.072,Whoa!
1003.74,1006.005,"What's going on?
What's happening to your hands?"
1006.006,1008.278,"- What's wrong with you?
- I don't know."
1012.115,1013.082,Spencer!
1014.418,1015.515,"Oh, my God!"
1015.519,1018.087,Oh-oh-oh...
1022.225,1023.49,Aah!
1024.961,1026.359,"What the hell, man?"
1026.363,1027.861,"Oh, no."
1027.864,1031.734,Holy shit...
1038.472,1040.374,Whoa!
1042.51,1044.98,Aah.
1065.536,1067.201,Guys?
1067.202,1070.905,"Guys? Why do I
sound like this?"
1078.145,1079.781,Where's my hair?
1090.058,1092.159,What the...?
1092.162,1093.963,"Oh, God!"
1096.433,1097.865,"Ow, unh."
1111.316,1112.915,Huh?
1115.018,1116.481,Oh...
1116.483,1119.088,What kind of stupid-ass...?
1121.058,1123.326,"- Who are you?
- Who are you?"
1125.529,1126.961,Who is she?
1126.962,1130.096,Who are you guys? Huh?
1130.098,1132.067,"Okay, what the hell?"
1132.067,1133.902,"God! Oh, my God!"
1133.903,1135.336,"- Get off of me!
- I am suing..."
1135.337,1138.005,"- What's wrong with my voice?
- Get off of me!"
1138.008,1140.411,"- Where am I?
- You're crushing me! Get off!"
1141.613,1143.115,Get...
1147.951,1152.086,"What the hell?
What happened to the rest of me?"
1152.087,1154.624,"What is this?
What is this on my back?"
1154.625,1155.624,What is this?
1155.625,1158.094,"Oh, my God."
1158.096,1159.064,Fridge?
1160.328,1162.398,"Yeah, I'm Fridge.
Who are you?"
1166.501,1167.934,I'm Spencer.
1167.936,1172.508,"What? The hell you are.
What is going on? Huh?"
1172.509,1174.308,I think...
1174.309,1175.509,we're in the game.
1175.51,1177.944,"- Sorry, excuse me?
- What are you talking about?"
1177.947,1179.548,"Somehow, I don't know how..."
1179.548,1182.951,"I think we got, like,
sucked into the game."
