start_time,end_time,text
612.885,615.385,"- Harry!
- What was my profit for the day?"
615.555,619.764,"- Could you repeat the last one...?
- $10,265."
622.474,624.814,Check it if you don't believe me.
629.234,631.274,You're a little cheat. You saw the paper.
631.444,633.114,From all the way over here?
634.654,636.573,Are you being smart with me?
638.243,640.873,"If you're being smart with me,
young lady, you're gonna be punished."
641.033,643.333,Punished for being smart?
643.503,645.463,For being a smart aleck.
645.833,649.423,"When a person is bad, that
person has to be taught a lesson."
649.593,651.503,"- Person?
- Get up!"
652.003,653.962,"- Get up.
- Harry Wormwood..."
654.132,656.382,had unintentionally given his daughter...
656.552,659.302,the first practical advice she could use.
659.472,662.102,"He meant to say,
""When a child is bad."""
662.262,664.892,"Instead he said,
""When a person is bad."""
665.062,668.562,And thereby introduced a revolutionary idea
668.732,671.901,that children could punish their parents.
673.731,676.111,"Only when they deserved it, of course."
755.516,757.896,"Michael, come into my room."
760.446,762.066,What?
762.236,766.116,"My boy, today's the day I take you
to the shop. What do you say?"
766.286,768.486,"I don't know. What do you say, Dad?"
768.656,771.116,I say appearance is nine-tenths of the law.
771.286,773.325,"People don't buy a car, they buy me."
773.495,776.455,"Which is why I personally take
such pride in my appearance."
776.625,780.085,"Well-oiled hair, clean shaved, snappy suit."
780.255,783.375,"Now, run along and get ready
for a big day of learning, kid. Heh."
783.545,785.675,It's gonna be a big day of learning too.
785.845,789.305,"There's a sucker born every minute.
We're gonna take them for all they got."
790.054,791.634,Give me the cookies.
792.054,793.594,Here.
799.434,802.314,"Okay, my boy, heir to the throne."
802.484,805.154,Today we diddle the customer.
805.404,808.323,"What's wrong with you?
What are you looking at?"
808.823,811.113,"Lovekins, where's my breakfast?"
811.283,814.573,"Here we are, my heartstrings. Aah!"
816.033,818.993,"Snickerdoodle, what did you do to your hair?"
822.163,823.793,My hair?
835.432,838.182,"Give me those things. Give me that.
Where are you going with those?"
838.352,840.682,Give me those. Get in the car. Go on.
844.191,845.901,"- Get in.
- Dirty dealings,"
847.401,850.781,"Like buying stolen car parts,
never stay secret for long."
850.941,854.031,Especially when the FBI gets involved.
860.29,863.83,"9:17, suspect exits domicile."
864.0,865.87,I've got 9:18.
868.0,869.71,9:17 is correct.
880.179,884.059,"Michael, one day all this will be yours."
884.309,885.939,This?
