start_time,end_time,text
613.42,615.73,"I'm so glad you've
come home safely."
615.82,618.81,"Come with me.
We have much to talk about."
618.9,621.37,"I want to hear everything
you've been doing."
626.1,629.62,"Father, for many nights now
I've been having
a very strange dream."
629.7,633.22,"I think it's telling me
something's about to happen.
Something exciting."
633.3,637.34,"Yes, something exciting
is about to happen."
637.42,642.34,"- Really? What is it?
- Kocoum has asked to seek
your hand in marriage."
642.42,645.1,Marry Kocoum?
646.54,648.93,"I told him it would
make my heart soar."
651.94,655.82,But he's so serious.
655.9,658.74,"My daughter, Kocoum
will make a fine husband."
658.82,663.05,"He is loyal and strong
and will build you a good house
with sturdy walls."
663.14,664.97,"With him, you will
be safe from harm."
665.06,667.94,"Father, I think my dream is
pointing me down another path."
668.02,672.46,"- This is the right path for you.
- But why can't I choose..."
679.22,683.69,"Pocahontas, come with me.
You are the daughter
of the chief."
683.78,686.17,"It is time to take your place
among our people."
686.26,688.49,Even the wild mountain stream...
688.58,690.73,must someday join the big river.
690.82,695.02,As the river cuts his path
695.1,699.49,"Though the river's
proud and strong"
699.58,704.13,"He will choose
the smoothest course"
704.22,707.5,That's why rivers live so long.
707.58,710.18,They're steady
710.26,714.22,As the steady beating drum
714.3,717.21,"Your mother wore this
for our wedding."
717.3,719.94,"It was her dream to see you
wear it at your own."
722.7,724.58,It suits you.
728.58,732.89,"He wants me to be steady
like the river."
736.66,738.81,But it's not steady at all.
741.1,745.46,"What I love most about rivers
is you can't step in
the same river twice"
745.54,749.46,"The water's always changing
always flowing"
749.54,752.98,"But people, I guess
can't live like that
We all must pay a price"
753.06,756.5,"To be safe we lose our chance
of ever knowing"
756.58,759.86,What's around the river bend
759.94,763.38,"Waiting just around
the river bend"
763.46,767.38,"I look once more
just around the river bend"
767.46,770.69,"Beyond the shore
where the gulls fly free"
770.78,772.74,Don't know what for
772.82,777.94,"What I dream the day might send
Just around the river bend"
778.02,781.09,For me
781.18,785.46,Coming for me
785.54,790.09,"I feel it there
beyond those trees or right
behind these waterfalls"
790.18,793.46,"Can I ignore that sound
of distant drumming"
793.54,797.3,"For a handsome
sturdy husband who builds
handsome, sturdy walls"
797.38,801.09,"And never dreams that
something might be coming"
801.18,804.7,Just around the river bend
804.78,808.25,Just around the river bend
808.34,811.86,"I look once more
just around the river bend"
811.94,815.41,"Beyond the shore
Somewhere past the sea"
815.5,819.21,"Don't know what for
Why do all my dreams extend"
819.3,822.98,Just around the river bend
823.06,826.21,Just around the river bend
828.74,831.89,"Should I choose
the smoothest course"
831.98,835.18,Steady as the beating drum
836.42,840.34,Should I marry Kocoum
840.42,844.21,Is all my dreaming at an end
846.38,849.9,Or do you still
849.98,852.21,Wait for me
852.3,855.34,Dream giver
855.42,860.82,Just around the river
862.26,868.26,Bend
891.02,894.46,Is that my Pocahontas?
894.54,897.14,"Grandmother Willow,
I need to talk to you."
899.02,901.62,"Good morning, child."
901.7,904.01,I was hoping you'd visit today.
904.1,907.22,"Oh! Why, your mother's necklace!"
907.3,909.94,"That's what I wanted
to talk to you about."
910.02,911.98,"My father wants me
to marry Kocoum."
912.06,915.42,Kocoum? But he's so serious.
915.5,919.26,"I know. My father thinks
it's the right path for me."
919.34,922.1,"But lately, I've been having
this dream and I think it's..."
922.18,926.38,"Oh, a dream!
Let's hear all about it."
927.98,930.74,Quiet!
930.82,932.22,Quiet!
937.7,939.77,"Now, child, you were saying."
939.86,942.38,"Well, I'm running
through the woods..."
942.46,944.98,"and then, right there
in front of me, is an arrow."
945.06,947.45,"As I look at it,
it starts to spin."
947.54,951.06,"A spinning arrow.
How unusual."
951.14,956.26,"Yes. It spins faster
and faster and faster
until suddenly it stops."
958.58,961.65,"Hmm. Well, it seems to me..."
961.74,965.13,"this spinning arrow
is pointing you down your path."
965.3,968.34,"But, Grandmother Willow,
what is my path?"
968.42,971.18,How am I ever going to find it?
971.26,974.65,"Your mother asked me
the very same question."
974.74,976.97,She did? What did you tell her?
977.06,979.94,I told her to listen.
980.02,982.74,"All around you
are spirits, child."
982.82,987.74,"They live in the earth,
the water, the sky."
987.82,991.45,"If you listen,
they will guide you."
994.5,996.97,"- I hear the wind.
- Yes."
997.06,999.37,What is it telling you?
999.46,1001.37,I don't understand.
1005.22,1008.21,You will understand
1008.3,1011.93,Listen with your heart
1012.02,1015.49,You will understand
1015.58,1018.49,Let it break upon you
1018.58,1021.54,Like a wave upon the sand
1021.62,1024.98,"It's saying something's coming.
Strange clouds?"
1025.06,1028.18,Listen with your heart
1028.26,1034.74,"- You will understand
- You will understand"
1038.62,1040.82,What do you see?
1040.9,1044.53,Clouds. Strange clouds.
1047.66,1053.02,"Look at it, Wiggins.
An entire new world
chock full of gold..."
1053.1,1055.09,just waiting for me.
1055.18,1059.33,"And scores of adventures
waiting for us. Right, Percy?"
1059.42,1062.22,"- Do you think we'll
meet some savages?
- If we do, we shall be sure..."
1062.3,1065.93,"- to give them a proper
English greeting.
- Ooh, gift baskets."
1066.02,1070.02,"Oh, no. And he came
so highly recommended."
1072.18,1075.57,"It's perfect, Governor.
The water's deep enough.
We can pull right up to shore."
1075.66,1078.7,"Hey there, Percy."
1078.78,1081.06,"- Very well, then.
Give the order.
- Already done, sir."
1081.14,1083.1,"I've got a crew assembled
and they're ready to go."
1083.18,1085.98,"About the natives,
I'm counting on you..."
1086.06,1089.02,"to make sure those
filthy heathens don't
disrupt our mission."
1089.1,1093.3,"Well, if they're anything like
the savages I've fought before,
it's nothing I can't handle."
1093.38,1096.34,"Right. That'll be all, Smith.
There's a good man."
1096.42,1098.73,"See you, Percy."
1101.02,1104.49,"The men like Smith, don't they?"
1104.58,1108.73,"- I've never been a popular man.
- I like you."
1108.82,1112.61,"And don't think I don't know
what those back stabbers
at court say about me."
1112.7,1116.01,"Oh, yes, all that talk about
being a pathetic social climber
who's failed at everything..."
1116.1,1119.38,"- he's tried.
- I'm very well aware that this
is my last chance for glory."
1119.46,1123.82,"But mark my words, Wiggins.
When King James sees the gold
these peasants unearth..."
1123.9,1127.82,success will be mine at last.
1129.38,1131.69,"- Wake up! Shake a leg!
- Top off the yardarm!"
1131.78,1136.33,"- It's incredible!
- And it's all ours. I've never
seen anything like it."
1136.42,1138.73,"It could look like Ratcliffe's
knickers, for all I care..."
1138.82,1141.42,"just as long as I get off
this stinkin' boat."
1141.5,1144.73,"Come on, men. We didn't come
all this way just to look at it."
1197.22,1199.18,"Keep it taut, lads.
Keep it taut."
1199.26,1203.22,"- Steady! Steady!
- Hold up! That's far enough."
1203.3,1205.66,"All right, now. Tie her off."
1205.74,1209.82,"Here, John, tie off this end.
John? John?"
1211.22,1214.66,"- What are you doing up there?
- Getting a better look."
1238.18,1240.01,Hey!
1244.42,1248.3,"Well. You're a
strange-looking fellow."
1248.38,1250.9,"Are you hungry?
Here you go."
1250.98,1254.98,"Ah, it's a biscuit.
It's food. Well, sort of."
1257.1,1261.49,"You like it, eh?
Well, try eating it
for four months straight."
1265.5,1268.02,You got a friend back there?
