start_time,end_time,text
474.723,476.182,[Georges] Edgar?
476.35,480.312,"Adelaide, you mean to say you're
leaving your vast fortune to Edgar?"
481.062,485.233,"Everything you possess?
Stocks and bonds?"
485.401,487.694,This mansion? Your country chateau?
487.862,490.197,"Your treasures, jewels, and...?"
490.363,492.531,"[Madame] Oh, no, no, Georges."
492.699,495.535,"- To my cats.
- [Georges] To your cats?"
495.702,496.745,[wheezing] Cats?
496.913,498.038,"[Madame] Yes, Georges."
498.206,501.249,"I simply wish to have
the cats inherit first."
501.417,506.213,"Then, at the end of their lifespan,
my entire estate will revert to Edgar."
506.379,508.423,[wheezing] Cats inherit first?
508.591,510.257,And I come after the cats.
510.425,512.427,"I, me, after..."
512.595,514.428,It's... it's not fair.
514.596,516.597,"Whoo! I mean, whoo."
516.765,518.432,Each cat will live about 12 years.
518.6,520.936,"I can't wait...
And each cat has nine lives."
521.102,522.895,That's four times 12...
523.063,524.98,Multiply by nine times...
525.149,528.86,"No, it's less than that. Anyway,
it's much longer than I'd ever live."
529.986,531.363,I'll be gone.
532.782,534.032,No.
534.2,536.868,"Oh, no. They'll be gone."
537.036,539.162,I'll think of a way.
539.33,542.123,"Oh... there are a million
reasons why I should."
542.291,544.125,All of 'em dollars.
544.961,546.961,Millions.
548.673,550.756,"- Those cats have got to go.
- [ripping]"
553.635,555.135,"Wait for me, wait for me!"
555.303,557.764,"[Marie] Me first, me first. Whoo."
557.932,559.515,Why should you be first?
559.683,562.226,"Because I'm a lady, that's why."
562.394,564.354,Ha-ha. You're not a lady.
564.522,566.69,You're nothin' but a sister.
567.274,568.482,Oh!
569.777,572.153,I'll show you if I'm a lady or not.
572.321,573.738,[kittens giggling]
577.409,580.245,"- You're tickling.
- Get her, Berlioz, get her."
582.163,584.081,[giggling continues]
585.668,587.251,"Fight fair, Marie."
587.419,589.546,Females never fight fair.
590.84,592.34,"Ow! Now, that hurt."
592.508,593.924,Mama! Mama!
594.092,596.51,"Marie, darling, Marie,
you must stop that."
596.678,598.596,"This, this is really not ladylike."
598.764,601.307,And Berlioz?
601.475,605.437,"Such behaviour is most unbecoming
to a lovely gentleman."
605.605,607.522,"Well, she started it."
607.69,612.443,"Ladies do not start fights,
but they can finish them."
612.611,614.361,[Duchess] Berlioz.
614.529,615.989,"Now, don't be rude."
616.157,618.95,"We were just practising
biting and clawing."
619.118,623.288,"Aristocrats do not practise
biting and clawing"
623.456,625.456,"and things like that.
That's just horrible."
625.625,628.418,"But someday we might meet
a tough alley cat."
629.378,630.503,[meows loudly]
630.671,632.047,[hissing]
632.213,634.215,[Duchess chuckles]
634.383,635.924,That will do.
636.092,639.511,"It's time we concerned ourself
with self-improvement."
639.679,643.224,"You want to grow up to be lovely
charming ladies and gentlemens."
643.392,646.311,"Now, Toulouse, you go and
start on with your painting."
646.479,647.687,"Yes, Mama."
647.855,650.148,[hissing]
650.316,654.903,"[Marie] Mama, may we watch Toulouse
paint before we start our music lesson?"
655.071,656.488,Please?
656.655,658.447,"[Duchess] Well, yes, my love, but..."
658.615,661.033,"- [Toulouse] Whoops.
- ... you must be very quiet."
661.201,662.576,Uh-oh.
663.745,666.246,Mm-hm. Mm-mm-hm.
673.254,674.673,Uh-huh.
675.508,676.966,[sniffles]
686.936,688.019,Yeah.
688.187,689.52,[Marie laughs] It's Edgar.
689.688,692.273,"[Berlioz] Yeah, old pickle-puss Edgar."
692.441,696.61,"[giggling] ""Old pickle-puss""? Now, now."
696.778,699.114,"Berlioz, that is not kind."
699.28,701.95,"You know Edgar is so fond
of all of us"
702.118,704.284,and takes very good care of us.
705.162,707.621,"[tune of ""Rock-a-Bye Baby""]
♪ Rock-a-bye, kitties"
707.789,710.375,♪ Bye-bye you go
710.543,712.251,♪ La la la la
712.419,714.086,♪ And I'm in the dough
714.254,716.463,"Oh, Edgar, you sly old fox."
716.631,720.176,"[humming tune of ""Rock-a-Bye Baby""]"
724.389,725.849,"Oops. Oh, dear."
726.015,728.643,"Slip of the hand
and it's off to dreamland."
728.811,730.394,"I say, that's not at all bad."
730.562,732.688,"Slip of the hand... dreamland.
[chuckles]"
732.856,734.816,Let's leave Toulouse to his painting.
735.525,738.445,"Now, dear, you go to the piano.
Now, run along."
738.611,740.071,"Both of you, go ahead."
740.239,741.74,"Yes, Mama."
741.907,743.49,"Yes, Mama."
743.658,746.827,"[Duchess] It's time to practise
your scales and your arpeggios."
747.746,748.913,Ouch!
749.081,750.331,[piano keys sound]
758.506,760.508,[cracking knuckles]
766.182,768.515,"I'm ready, maestro."
770.059,771.644,"- [plays discordant scale]
- Ooh!"
771.812,773.98,"Mama, he did it again."
774.148,777.484,"- Tattletale.
- Now, Berlioz."
777.65,782.489,"Now, please, darling, settle down
and play me your pretty little song."
782.655,784.032,"Yes, Mama."
786.494,788.66,"♪ Do mi so do
Do so mi do"
788.828,790.538,♪ Every truly cultured
790.706,793.707,♪ Music student knows
793.875,798.879,"♪ You must learn your scales
and your arpeggios"
799.048,801.548,"♪ Bring the music ringing
from your chest"
801.716,803.884,♪ And not your nose
804.052,808.514,"♪ While you sing your scales
and your arpeggios"
810.225,815.187,"♪ If you're faithful
to your daily practising"
815.355,820.235,"♪ You will find your progress
is encouraging"
820.402,822.611,"♪ Do mi so mi
Do mi so mi"
822.779,824.739,♪ Fa la so it goes
824.907,830.202,"♪ When you do your scales
and your arpeggios"
830.37,832.538,"- ♪ Do mi so do...
- [piano plays different tune]"
843.926,846.51,"[Duchess and Marie] ♪ Do miso do
Do so mi do"
846.678,848.846,"♪ Do mi so do
Do so mi do"
849.014,853.934,"♪ Though at first it seems
as though it doesn't show"
854.102,858.69,"♪ Like a tree, ability
will bloom and grow"
858.857,861.192,"♪ If you're smart
you'll learn by heart"
861.36,864.653,♪ What every artist knows
864.822,867.365,♪ You must sing your scales
867.533,873.538,♪ And your arpeggios ♪
888.636,891.306,"Oh. Good evening, my little ones."
891.472,894.725,"- [humming ""Rock-a-Bye Baby""]
- [meowing]"
898.647,902.649,"Your favourite dish,
prepared a very special way."
902.817,906.321,It's crème de la crème à la Edgar.
906.488,910.24,"Sleep well...
I mean, eat well, of course."
921.503,923.171,[sniffing]
926.341,928.676,"[clears throat] Good evening, Duchess."
928.844,931.721,"- Hello, kittens.
- Hello, Roquefort."
931.889,935.015,"- Hi, Roquefort.
- Good evening, Monsieur Roquefort."
935.183,938.602,"[sniffing] Mm. Something smells
awfully good."
938.77,942.606,[giggles] What is that appetising smell?
942.774,945.61,It's crème de la crème à la Edgar.
945.778,948.028,"Won't you join us, Monsieur Roquefort?"
948.197,951.115,"Well, yes. I mean...
I don't mean to interrupt."
951.283,952.825,But...
952.993,957.496,"But it so happens
that I have a cracker with me."
957.664,959.624,"Come on, Roquefort, have some."
959.792,963.378,"Oh, thank you. Don't mind if I do."
963.544,964.879,Just a few dunks.
967.216,969.299,Mm. Oooh. Very good.
969.467,971.97,"[mumbling] My compliments
to the chef."
972.136,974.639,Mm. This is yummy.
974.807,976.264,[slurping] Mm.
976.432,978.558,Delicious.
978.726,980.894,Double delicious.
982.355,984.649,This calls for another cracker.
984.817,985.984,I'll be right back.
989.071,990.278,[yawning]
993.575,994.993,[yawning]
998.58,1001.415,So that's...
1001.582,1005.378,...crème de la crème...
1006.672,1007.797,...à la...
1007.965,1009.59,...Edgar.
1032.78,1034.406,[gasping]
1036.91,1038.744,[chuckling]
1050.798,1053.05,[engine starts]
1053.218,1055.552,"[backfiring, sputtering]"
1071.111,1072.444,[sighs]
1072.613,1073.695,Ahhh!
1075.74,1078.576,"[train chugging, whistle blowing]"
1103.477,1104.977,[engine sputtering]
1105.144,1107.646,[engine backfiring]
1116.155,1118.449,"Lafayette. Hey, Lafayette."
1118.616,1120.66,"- [grunting]
- Lafayette!"
1120.827,1123.037,"- Well, I'm right here.
- Listen."
1123.204,1124.997,Wheels approaching.
1125.164,1128.416,"Oh, Napoleon, we done
bit six tyres today."
